Carga,Placa,Nº Pedido,Cód. Cliente,Nome Cliente,Grupo Cliente,Endereço de Entrega,Bairro de Entrega,Cidade de Entrega,Qtde. dos Itens,Peso dos Itens,Latitude,Longitude,Veiculo,Data Roteirizacao
,FTY6B82,3728309,205131,AVICOLA MIYASHIRO LTDA,Nenhum,"Praça CANARIAS, SN",Vila Formosa,São Paulo,11,215,-23.5666937,-46.5458712,78,2025-04-17 12:55:48
,FTY6B82,3728266,14266,SUPERMERCADO TRIALBA LTDA,Negreiros,"Avenida RENATA, 346",CHACARA BELENZINHO,São Paulo,28,560,-23.5733062,-46.5413423,78,2025-04-17 12:55:48
,FTY6B82,3728004,11509,CASA DE CARNES LIEGE LTDA,Nenhum,"Avenida TRUMAIN, 608",Vila Formosa,São Paulo,11,220,-23.564728,-46.5357888,78,2025-04-17 12:55:48
,FTY6B82,3728124,205084,CASA DE CARNES DYSOUZA LTDA,Nenhum,"Rua FRANCISCA DE PAULA, 815",VILA CARRAO,São Paulo,10,180,-23.5597241,-46.5313315,78,2025-04-17 12:55:48
,FTY6B82,3727808,204736,ARICAN RESTAURANTE LTDA,Nenhum,"Avenida ARICANDUVA, 5555",Vila Matilde,São Paulo,6,120,-23.5659937,-46.504011,78,2025-04-17 12:55:48
,FTY6B82,3728239,2753,CASAS NEGREIRO LTDA,Negreiros,"Avenida ITAQUERA, 6735",CIDADE LIDER,São Paulo,20,400,-23.5542277,-46.4832701,78,2025-04-17 12:55:48
,FTY6B82,3728002,204985,HUATIAN LI AVICOLA E MERCEARIA,Nenhum,"Rua PEIXOTO WERNECK, 353",Parque Artur Alvim,São Paulo,5,100,-23.5415346,-46.4868914,78,2025-04-17 12:55:48
,FTY6B82,3728161,215020,53.793.043 MARIA ODECI RAMOS DE MACEDO,Nenhum,"Rua DESEMBARGADOR CARNEIRO RIBEIRO, 439",Parque Artur Alvim,São Paulo,14,280,-23.5428163,-46.489922,78,2025-04-17 12:55:48
,FTY6B82,3728171,210371,CASA DE CARNES BOI DA ZL LTDA,Nenhum,"Avenida ENGENHEIRO SOARES DE CAMARGO, 450",Cidade Patriarca,São Paulo,6,122,-23.540836,-46.5007087,78,2025-04-17 12:55:48
,FTY6B82,3728307,213488,AVICOLA E MERCEARIA FRANGO FORTE LTDA,Nenhum,"Rua ITINGUCU, 705",VILA RE,São Paulo,6,115,-23.5242531,-46.5080409,78,2025-04-17 12:55:48
